Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2/12/2020,"11,820","12,480","12,480","11,820","1,00K","-0,59%"
3/12/2020,"11,900","11,820","11,900","11,800","14,14K","0,68%"
4/12/2020,"12,400","12,990","13,980","11,500","15,53K","4,20%"
7/12/2020,"12,550","13,150","14,000","12,200","14,52K","1,21%"
8/12/2020,"12,377","12,990","13,440","12,250","14,94K","-1,38%"
9/12/2020,"12,700","12,338","13,000","12,300","39,57K","2,61%"
10/12/2020,"12,650","12,500","13,100","12,120","27,21K","-0,39%"
11/12/2020,"12,750","12,775","13,200","12,500","37,11K","0,79%"
14/12/2020,"13,200","12,950","13,500","12,850","51,52K","3,53%"
15/12/2020,"12,692","13,380","13,450","12,690","35,10K","-3,85%"
16/12/2020,"12,610","13,180","13,180","12,550","47,79K","-0,64%"
17/12/2020,"13,190","13,090","13,440","12,800","28,15K","4,60%"
18/12/2020,"13,040","13,750","13,750","12,900","48,42K","-1,14%"
21/12/2020,"13,488","13,500","13,500","13,250","25,57K","3,44%"
22/12/2020,"13,620","13,520","13,920","13,146","48,73K","0,98%"
23/12/2020,"13,290","14,000","14,000","13,280","84,55K","-2,42%"
24/12/2020,"13,320","13,290","14,620","13,230","33,93K","0,23%"
28/12/2020,"12,900","13,500","13,500","12,900","91,49K","-3,15%"
29/12/2020,"12,940","12,960","13,250","12,850","149,10K","0,31%"
30/12/2020,"13,200","13,390","13,390","13,000","22,08K","2,01%"
31/12/2020,"12,860","13,440","13,900","12,610","33,17K","-2,58%"
4/1/2021,"12,950","13,990","13,990","12,630","36,74K","0,70%"
5/1/2021,"12,850","12,780","13,220","12,610","20,56K","-0,77%"
6/1/2021,"12,850","12,840","12,990","12,700","159,39K","0,00%"
7/1/2021,"13,750","13,000","13,940","12,910","261,54K","7,00%"
8/1/2021,"13,815","14,170","14,990","13,400","168,03K","0,47%"
11/1/2021,"14,010","13,900","14,500","13,800","198,12K","1,41%"
12/1/2021,"14,250","14,110","14,500","14,110","77,60K","1,71%"
13/01/2021,"14,030","14,440","14,567","14,020","276,09K","-1,54%"
14/01/2021,"14,390","15,020","15,610","14,000","230,04K","2,57%"
15/01/2021,"14,850","14,720","15,200","14,470","215,34K","3,20%"
19/01/2021,"14,730","15,140","15,830","14,650","97,52K","-0,81%"
20/01/2021,"14,880","14,960","15,340","14,570","38,07K","1,02%"
21/01/2021,"16,500","14,920","17,250","14,540","583,47K","10,89%"
22/01/2021,"16,750","17,260","18,109","15,550","503,99K","1,52%"
25/01/2021,"15,220","15,700","16,260","14,800","510,60K","-9,13%"
26/01/2021,"14,470","15,350","15,707","14,310","143,82K","-4,93%"
27/01/2021,"12,770","14,380","14,380","12,620","408,98K","-11,75%"
28/01/2021,"14,000","13,130","14,890","13,010","197,22K","9,63%"
29/01/2021,"13,900","13,910","14,230","13,500","93,74K","-0,71%"
1/2/2021,"14,120","14,170","14,747","13,930","134,68K","1,58%"
2/2/2021,"14,400","14,380","14,730","14,130","159,61K","1,98%"
3/2/2021,"14,400","14,550","14,990","14,260","178,41K","0,00%"
4/2/2021,"13,850","14,390","14,490","13,750","233,28K","-3,82%"
5/2/2021,"14,350","14,450","14,810","14,170","225,58K","3,61%"
8/2/2021,"14,590","14,520","15,100","14,294","266,62K","1,67%"
9/2/2021,"14,300","14,090","14,590","14,090","136,45K","-1,99%"
10/2/2021,"14,300","14,407","14,880","14,060","197,04K","0,00%"
11/2/2021,"13,990","14,540","14,540","13,900","137,36K","-2,17%"
12/2/2021,"13,870","13,950","14,670","13,810","198,01K","-0,86%"
16/02/2021,"13,880","14,000","14,430","13,750","121,84K","0,07%"
17/02/2021,"13,900","13,980","14,285","13,540","100,41K","0,14%"
18/02/2021,"14,000","13,900","14,130","13,630","48,81K","0,72%"
19/02/2021,"13,900","13,800","14,240","13,800","57,72K","-0,71%"
22/02/2021,"13,640","13,900","14,250","13,590","242,55K","-1,87%"
23/02/2021,"13,630","13,490","14,490","12,800","173,11K","-0,07%"
24/02/2021,"13,260","13,610","13,979","13,100","159,46K","-2,71%"
25/02/2021,"12,840","13,370","13,370","12,820","230,80K","-3,17%"
26/02/2021,"12,950","13,000","13,250","12,510","168,57K","0,86%"
1/3/2021,"12,890","13,080","13,265","12,700","146,56K","-0,46%"
2/3/2021,"12,700","13,120","13,238","12,290","294,95K","-1,47%"
3/3/2021,"11,380","12,760","12,850","11,350","361,49K","-10,39%"
4/3/2021,"11,300","11,180","11,780","11,030","296,66K","-0,70%"
5/3/2021,"11,520","11,440","12,380","10,790","282,75K","1,95%"
8/3/2021,"10,980","11,550","11,690","10,910","84,43K","-4,69%"
9/3/2021,"11,880","11,190","12,387","11,190","217,85K","8,20%"
10/3/2021,"12,000","11,990","12,810","11,650","1,45M","1,01%"
11/3/2021,"14,650","12,240","15,500","11,920","6,07M","22,08%"
12/3/2021,"13,950","14,650","14,820","13,780","2,11M","-4,78%"
15/03/2021,"13,730","14,080","14,590","13,650","1,17M","-1,58%"
